Органный вечер с Лукасом Хаслером	https://m.ticketon.kz//almaty/event/organnyy-vecher-s-lukasom-khaslerom
ВЛАСТЕЛИН КОЛЕЦ В исполнении NE PROSTO ORCHESTRA в Алматы	https://m.ticketon.kz//almaty/event/vlastelin-kolets-ne-prosto-orchestra-v-almaty
Кайрат Нуртас в Алматы	https://m.ticketon.kz//almaty/event/kayrat-nurtas-v-almaty-dr
Большой концерт Akha. V $ X V Prince, Алишер Конысбаев	https://m.ticketon.kz//almaty/event/bolshoy-kontsert-akha-v-x-v-prince-alisher-konysbaev
Камерный концерт Mezzo acoustic в Алматы	https://m.ticketon.kz//almaty/event/kamernyy-kontsert-mezzo-acoustic-v-almaty
Нұрболат Абдуллин Live Бэнд	https://m.ticketon.kz//almaty/event/nurbolat-abdullin-live-bend
Мерекелік концерт	https://m.ticketon.kz//almaty/event/merekelik-kontsert
Еркеш Шакеев «Творческий вечер в Алматы»	https://m.ticketon.kz//almaty/event/kontsert-erkesha-shakeeva
Новые голоса степи	https://m.ticketon.kz//almaty/event/novye-golosa-stepi
Stand up концерт Расул Чабдаров	https://m.ticketon.kz//almaty/event/stand-up-kontsert-rasul-chabdarov
SQWOZBAB в Алматы	https://m.ticketon.kz//almaty/event/sqwozbab-v-almaty
Меладзе в Алматы	https://m.ticketon.kz//almaty/event/meladze-v-almaty
Бағжан Октябрь в Алматы с концертной программой «Терапия души»	https://m.ticketon.kz//almaty/event/terapiya-dushi-v-almaty
Тоқтар мен Бейбіт мерекелік жаңа ән кешіне 	https://m.ticketon.kz//almaty/event/toqtar-men-beybyt
 Jazz Jam Session в Музкафе	https://m.ticketon.kz//almaty/event/-jazz-jam-session-v-muzkafe
Концерт «В лунном сиянии, снег серебрится»	https://m.ticketon.kz//almaty/event/v-lunnom-siyanii-sneg-serebritsya
Мир турецких сериалов в Алматы	https://m.ticketon.kz//almaty/event/mir-turetskikh-serialov-v-almaty
Folk & Symphony	https://m.ticketon.kz//almaty/event/folk-symphony
Stand up. Открытый микрофон Amore 2	https://m.ticketon.kz//almaty/event/stand-up-otkrytyy-mikrofon-amore-2
ATMAN в Музкафе	https://m.ticketon.kz//almaty/event/aura-atman-v-muzkafe
«Лампы Оркестра» (L.O) в Музкафе	https://m.ticketon.kz//almaty/event/gruppa-lampy-orkestra-l-o
Salt Peanuts в Музкафе	https://m.ticketon.kz//almaty/event/salt-peanuts-v-muzkafe
Детективный поединок	https://m.ticketon.kz//almaty/event/detektivnyy-poedinok
Великий романтик из Гамбурга	https://m.ticketon.kz//almaty/event/velikiy-romantik-iz-gamburga
Квартирник Виктора Макеева с участием ансамбля «Семь рек» 	https://m.ticketon.kz//almaty/event/kvartirnik-viktora-makeeva-s-uchastiem-ansamblya-7rek
Группа «Яшлык» в Музкафе	https://m.ticketon.kz//almaty/event/gruppa-yashlyk-v-muzkafe
Stand Up концерт в Artsy	https://m.ticketon.kz//almaty/event/stand-up-kontsert-v-artsy
Ансамбль TURAN в Музкафе!	https://m.ticketon.kz//almaty/event/ansambl-turan-v-muzkafe
Иммерсивный аудиоспектакль на Медео «Твоя вершина» 	https://m.ticketon.kz//almaty/event/immersivnyy-audiospektakl-na-medeo
The Best of Моцарт	https://m.ticketon.kz//almaty/event/the-best-of-motsart
Soundtrack concert ATTACK ON TITAN в исполнение NE PROSTO ORCHESTRA в Алматы	https://m.ticketon.kz//almaty/event/ne-prosto-orchestra-attack-on-titan-v-almaty
Песни из советских фильмов с Дианой Макиной	https://m.ticketon.kz//almaty/event/melodii-iz-sovetskikh-filmov
JCS в Музкафе	https://m.ticketon.kz//almaty/event/jcs-v-muzkafe-02-28
Фестиваль «Мои друзья - мое богатство»	https://m.ticketon.kz//almaty/event/festival-moi-druzya-moe-bogatstvo
«Посвящение». Концерт, посвященный 150-летию Сергея Рахманинова	https://m.ticketon.kz//almaty/event/vecher-muzyki-sergeya-rakhmaninova
Концерт ансамбля танца «Салтанат» «Шын жүректен»	https://m.ticketon.kz//almaty/event/shyn-zhurekten
Иван Абрамов в Алматы	https://m.ticketon.kz//almaty/event/ivan-abramov-v-almaty
Ne prosto orchestra - Великолепный век «Благотворительный концерт»	https://m.ticketon.kz//almaty/event/ne-prosto-orkestr--velikolepnyy-vek-dr
Сосо Павлиашвили в Алматы 28 февраля	https://m.ticketon.kz//almaty/event/soso-pavliashvili-v-almaty-2023
Malika Fuentes	https://m.ticketon.kz//almaty/event/malika-fuentes
Legends of rock	https://m.ticketon.kz//almaty/event/legends-of-rock
Мерекелік концерт «Әлемнің жарығы»	https://m.ticketon.kz//almaty/event/merekelik-kontsert-alemnin-zharygy
Табассум	https://m.ticketon.kz//almaty/event/tabassum
Вечер балета «Freedom Gala» в Алматы	https://m.ticketon.kz//almaty/event/freedom-gala-v-almaty
GONE.Fludd в Алматы	https://m.ticketon.kz//almaty/event/gone-fludd-v-almaty
Гала концерт Казахской Национальной Академии Хореографии	https://m.ticketon.kz//almaty/event/gala-kontsert-kazakhskoy-natsionalnoy-akademii-khoreografii
«Қайран шешем» концерті	https://m.ticketon.kz//almaty/event/qayran-sheshem-kontsert
Диан Чобанов 	https://m.ticketon.kz//almaty/event/dian-chobanov
Бағжан Октябрь с концертной программой «Терапия души» в Жанаозене	https://m.ticketon.kz//almaty/event/bazhan-oktyabr-v-zhanaozene
Кино на языке танго	https://m.ticketon.kz//almaty/event/kino-na-yazyke-tango
Чего хотят женщины...	https://m.ticketon.kz//almaty/event/chego-khotyat-zhenshchiny
Romantic spring	https://m.ticketon.kz//almaty/event/romantic-spring
Концерт «С любовью к женщине»	https://m.ticketon.kz//almaty/event/s-lyubovyu-k-zhenshchine-gatob
Кенжебек Жанабилов «Қазақтың арулары»	https://m.ticketon.kz//almaty/event/kenzhebek-zhanabilov-kazaktyn-arulary
«Дамский кураж»	https://m.ticketon.kz//almaty/event/damskiy-kurazh
Шымкент шоу	https://m.ticketon.kz//almaty/event/shymkent-shou-almaty
Сольный концерт Сергея Калугина	https://m.ticketon.kz//almaty/event/solnyy-kontsert-sergeya-kalugina
SHOW SYMPHONY ORCHESTRA в Алматы	https://m.ticketon.kz//almaty/event/show-symphonny-orchestra-v-almaty
Парад Теноров	https://m.ticketon.kz//almaty/event/parad-tenorov-fl
303xVeselka	https://m.ticketon.kz//almaty/event/303xveselka
EINAUDI	https://m.ticketon.kz//almaty/event/einaudi
«Шам Әуен» концерт классической музыки при свечах в Алматы	https://m.ticketon.kz//almaty/event/sham-aueny-almaty
 Jiger Auypbaev	https://m.ticketon.kz//almaty/event/jiger-auypbaev
Легенды великих степей	https://m.ticketon.kz//almaty/event/legendy-velikikh-stepey
Жубаныш Жексен во Дворце Республики	https://m.ticketon.kz//almaty/event/zhubanysh-zheksen-vo-dvortse-respubliki
Айгуль Иманбаева в Алматы	https://m.ticketon.kz//almaty/event/aygul-imanbaeva-v-almaty
Песенник в театре	https://m.ticketon.kz//almaty/event/pesennik-v-teatre-artishok
Ән мен әнші в Алматы	https://m.ticketon.kz//almaty/event/an-men-anshi-v-almaty
Концерт «NEW ART EXPANSE»	https://m.ticketon.kz//almaty/event/kontsert-new-art-expanse
Вечер вокальной музыки «Жүректен шыққан әсем ән»	https://m.ticketon.kz//almaty/event/zhurekten-shyqqan-asem-an
