Юрий Николаенко в Алматы	https://m.ticketon.kz/almaty/event/yuriy-nikolaenko-v-almaty	Almaty Arena	https://m.ticketon.kz/place/ledovaya-arena
DISCO. Дискотека года в Алматы	https://m.ticketon.kz/almaty/event/diskoteka-goda-v-almaty	Almaty Arena	https://m.ticketon.kz/place/ledovaya-arena
Еркеш Шакеев «Творческий вечер в Алматы»	https://m.ticketon.kz/almaty/event/kontsert-erkesha-shakeeva	Almaty theatre	https://m.ticketon.kz/place/gastrolnaya-scena-almaty-theatre
Вечер балета «Freedom Gala» в Алматы	https://m.ticketon.kz/almaty/event/freedom-gala-v-almaty	Almaty theatre	https://m.ticketon.kz/place/gastrolnaya-scena-almaty-theatre
Гала концерт Казахской Национальной Академии Хореографии	https://m.ticketon.kz/almaty/event/gala-kontsert-kazakhskoy-natsionalnoy-akademii-khoreografii	Almaty theatre	https://m.ticketon.kz/place/gastrolnaya-scena-almaty-theatre
Stand Up концерт в Artsy	https://m.ticketon.kz/almaty/event/stand-up-kontsert-v-artsy	Artsy	https://m.ticketon.kz/place/artsy
Концерт ATL в Алматы	https://m.ticketon.kz/almaty/event/kontsert-atl-v-almaty	Event Space (ТРК ФОРУМ)	https://m.ticketon.kz/place/event-space-trk-forum
Malika Fuentes	https://m.ticketon.kz/almaty/event/malika-fuentes	Howe space	https://m.ticketon.kz/place/howe-space
Квартирник Виктора Макеева с участием ансамбля «Семь рек»	https://m.ticketon.kz/almaty/event/kvartirnik-viktora-makeeva-s-uchastiem-ansamblya-7rek	La Bohême Театр	https://m.ticketon.kz/place/teatre-la-boheme
Алиса в Стране чудес на льду в Алматы	https://m.ticketon.kz/almaty/event/alisa-v-strane-chudes-na-ldu-v-almaty	Olimpic Arena SM	https://m.ticketon.kz/place/olimpic-arena-sm
Меладзе в Алматы	https://m.ticketon.kz/almaty/event/meladze-v-almaty	Queen Almaty	https://m.ticketon.kz/place/queen-almaty
Мерекелік концерт «Әлемнің жарығы»	https://m.ticketon.kz/almaty/event/merekelik-kontsert-alemnin-zharygy	Qurmangazy Orkestri (бывший «Казахконцерт»)	https://m.ticketon.kz/place/kazahkoncert
Мерекелік концерт «Әлемнің жарығы»	https://m.ticketon.kz/almaty/event/merekelik-kontsert-alemnin-zharygy	Qurmangazy Orkestri (бывший «Казахконцерт»)	https://m.ticketon.kz/place/kazahkoncert
«Қайран шешем» концерті	https://m.ticketon.kz/almaty/event/qayran-sheshem-kontsert	Qurmangazy Orkestri (бывший «Казахконцерт»)	https://m.ticketon.kz/place/kazahkoncert
Markul в Алматы	https://m.ticketon.kz/almaty/event/markul-v-almaty-motor	SE NIGHT CLUB	https://m.ticketon.kz/place/speak-easy-night-club
Большой сольный концерт Ayzik-a	https://m.ticketon.kz/almaty/event/bolshoy-solnyy-kontsert-ayzik-a	Smart Point	https://m.ticketon.kz/place/smart-point
Stand up. Открытый микрофон Amore 2	https://m.ticketon.kz/almaty/event/stand-up-otkrytyy-mikrofon-amore-2	Бар Amore	https://m.ticketon.kz/place/bar-amore
Иммерсивный аудиоспектакль на Медео «Твоя вершина»	https://m.ticketon.kz/almaty/event/immersivnyy-audiospektakl-na-medeo	ВСК «Медеу»	https://m.ticketon.kz/place/vsk-medeu
Концерт ансамбля танца «Салтанат» «Шын жүректен»	https://m.ticketon.kz/almaty/event/shyn-zhurekten	Гастрольная сцена театра им. М. Лермонтова	https://m.ticketon.kz/place/gastrolnaya-scena-teatra-im-lermontova
